20:07:10 [CommandMakeMob][pakito][pakito] - (Monster: 55, Qtd: 1)
20:08:19 [CommandMakeMob][pakito][pakito] - (Monster: 55, Qtd: 1)
20:16:11 [CommandDrop][pakito][pakito] - (Section: 14, Type: 21, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0)
20:16:23 [CommandDrop][pakito][pakito] - (Section: 14, Type: 21, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0)
20:16:28 [CommandDrop][pakito][pakito] - (Section: 14, Type: 21, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0)
20:16:34 [CommandDrop][pakito][pakito] - (Section: 14, Type: 21, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0)
20:16:39 [CommandDrop][pakito][pakito] - (Section: 14, Type: 21, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0)
20:16:56 [CommandDrop][pakito][pakito] - (Section: 14, Type: 21, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0)
20:17:02 [CommandDrop][pakito][pakito] - (Section: 14, Type: 21, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0)
20:17:08 [CommandDrop][pakito][pakito] - (Section: 14, Type: 21, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0)
20:17:14 [CommandDrop][pakito][pakito] - (Section: 14, Type: 21, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0)
20:17:21 [CommandDrop][pakito][pakito] - (Section: 14, Type: 21, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0)
20:23:59 [CommandDrop][pakito][pakito] - (Section: 14, Type: 21, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0)
20:24:05 [CommandDrop][pakito][pakito] - (Section: 14, Type: 21, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0)
20:24:12 [CommandDrop][pakito][pakito] - (Section: 14, Type: 21, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0)
20:24:18 [CommandDrop][pakito][pakito] - (Section: 14, Type: 21, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0)
20:24:25 [CommandDrop][pakito][pakito] - (Section: 14, Type: 21, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0)
20:24:31 [CommandDrop][pakito][pakito] - (Section: 14, Type: 21, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0)
20:24:41 [CommandDrop][pakito][pakito] - (Section: 14, Type: 21, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0)
20:24:46 [CommandDrop][pakito][pakito] - (Section: 14, Type: 21, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0)
20:24:52 [CommandDrop][pakito][pakito] - (Section: 14, Type: 21, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0)
20:25:00 [CommandDrop][pakito][pakito] - (Section: 14, Type: 21, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0)
20:25:59 [CommandDrop][pakito][pakito] - (Section: 14, Type: 21, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0)
20:26:04 [CommandDrop][pakito][pakito] - (Section: 14, Type: 21, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0)
20:26:16 [CommandDrop][pakito][pakito] - (Section: 14, Type: 21, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0)
20:26:23 [CommandDrop][pakito][pakito] - (Section: 14, Type: 21, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0)
20:26:32 [CommandDrop][pakito][pakito] - (Section: 14, Type: 21, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0)
20:26:37 [CommandDrop][pakito][pakito] - (Section: 14, Type: 21, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0)
20:26:43 [CommandDrop][pakito][pakito] - (Section: 14, Type: 21, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0)
20:26:49 [CommandDrop][pakito][pakito] - (Section: 14, Type: 21, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0)
20:26:54 [CommandDrop][pakito][pakito] - (Section: 14, Type: 21, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0)
20:27:02 [CommandDrop][pakito][pakito] - (Section: 14, Type: 21, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0)
